,unit_id,year,under_construction,comm_op,retired,under_construction_all_1980,comm_op_after_1980,permanently_suspended_1980s,unit_name,site_name,status,iso_3166_a3,subdivision_name,latitude,longitude
80,US - 438 ,1980,1,0,0,1.0,0.0,1,BELLEFONTE-1,BELLEFONTE,Construction Suspended,USA,AL,34.708611,-85.929167
81,US - 438 ,1990,1,0,0,0.0,0.0,1,BELLEFONTE-1,BELLEFONTE,Construction Suspended,USA,AL,34.708611,-85.929167
82,US - 439 ,1980,1,0,0,1.0,0.0,1,BELLEFONTE-2,BELLEFONTE,Construction Suspended,USA,AL,34.708611,-85.929167
83,US - 439 ,1990,1,0,0,0.0,0.0,1,BELLEFONTE-2,BELLEFONTE,Construction Suspended,USA,AL,34.708611,-85.929167
84,US - 440 ,1980,1,0,0,1.0,1.0,0,PERRY-1,PERRY,Operational,USA,OH,41.8006,-81.1439
85,US - 440 ,1990,0,1,0,0.0,0.0,0,PERRY-1,PERRY,Operational,USA,OH,41.8006,-81.1439
86,US - 441 ,1980,1,0,0,1.0,0.0,1,PERRY-2,PERRY,Construction Cancelled,USA,OH,41.8006,-81.1439
87,US - 441 ,1990,1,0,0,0.0,0.0,1,PERRY-2,PERRY,Construction Cancelled,USA,OH,41.8006,-81.1439
88,US - 443 ,1980,1,0,0,1.0,1.0,0,SEABROOK-1,SEABROOK,Operational,USA,NH,42.8992,-70.8489
89,US - 443 ,1990,0,1,0,0.0,0.0,0,SEABROOK-1,SEABROOK,Operational,USA,NH,42.8992,-70.8489
90,US - 444 ,1980,1,0,0,1.0,0.0,1,SEABROOK-2,SEABROOK,Construction Cancelled,USA,NH,42.8992,-70.8489
91,US - 444 ,1990,1,0,0,0.0,0.0,1,SEABROOK-2,SEABROOK,Construction Cancelled,USA,NH,42.8992,-70.8489
92,US - 445 ,1990,0,1,0,0.0,0.0,0,COMANCHE PEAK-1,COMANCHE PEAK,Operational,USA,TX,32.2984,-97.7855
93,US - 445 ,1980,1,0,0,1.0,1.0,0,COMANCHE PEAK-1,COMANCHE PEAK,Operational,USA,TX,32.2984,-97.7855
94,US - 454 ,1980,1,0,0,1.0,1.0,0,BYRON-1,BYRON,Operational,USA,IL,42.0742,-89.2819
95,US - 454 ,1990,0,1,0,0.0,0.0,0,BYRON-1,BYRON,Operational,USA,IL,42.0742,-89.2819
96,US - 455 ,1980,1,0,0,1.0,1.0,0,BYRON-2,BYRON,Operational,USA,IL,42.0742,-89.2819
